Disciplina:FISICA ZERO; Codigo: IFD0004; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: A definir.
Disciplina:METODOLOGIA DO ENSINO DE FISICA; Codigo: IFD0247; Pre requisitos: ( ( IFD0430 ) OU ( IFD0244 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Carater ideologico das metodologias de ensino. Teorias e estrategias que visam a otimizacao do desempenho dos alunos em testes de conhecimento. Potencialidades da liberdade individual do despertar do interesse pela ciencia. Participacao social e educacao problematizadora no ensino de Fisica. Elaboracao de planos de ensino.

Disciplina:MECANICA CLASSICA; Codigo: IFD0250; Pre requisitos: ( ( ( ( IFD0217 E IFD0220 ) OU ( IFD0175 E IFD0177 ) ) E ( MAT0027 ) ) OU ( ( MAT0027 ) E ( IFD0419 OU IFD0069 ) ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Dinamica Newtoniana. Momento linear, Momento angular e Energia. Oscilacoes. Principios variacionais e equacoes de Lagrange. Campos centrais. Sistemas de referencia nao-inerciais. Corpos rigidos. Mecanica Hamiltoniana.

Disciplina:FISICA MODERNA 1; Codigo: IFD0256; Pre requisitos: ( ( ( IFD0244 ) E ( IFD0236 ) E ( MAT0031 OU IFD0252 OU IFD0198 ) ) OU ( ( ( IFD0419 OU IFD0069 ) E ( ( ( IFD0420 ) E ( IFD0423 ) ) OU ( IFD0013 ) ) ) E ( IFD0422 OU IFD0055 ) E ( IFD0296 OU IFD0017 ) ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Relatividade restrita. A fenomenologia quantica: radiacao do corpo negro, efeito fotoeletrico e efeito Compton. Postulados de de Broglie. Dualidade onda-particula, difracao de eletrons, o Principio da incerteza. Espalhamento de Rutherford, espectros atomicos e modelo de Bohr. A teoria de Schrodinger da Mecanica Quantica. Solucoes da equacao de Schrodinger independente do tempo. Potenciais centrais, momento angular orbital, potencial coulombiano, atomos de um eletron. Momentos de dipolo magnetico, Spin.

Disciplina:PRATICA E ENSINO DE FISICA PARA O 2 GRAU 1; Codigo: IFD0282; Pre requisitos: ( ( IFD0247 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: INSERCAO DO LICENCIANDO NO CONTEXTO DE SALA DE AULA ONDE DEVERADESENVOLVER OBSERVACOES DIRIGIDAS E ATIVIDADES CO-PARTICIPATIVAS DE DO-CENCIA, UTILIZANDO COMO REFERENCIA OS MATERIAIS DIDATICO-INSTRUCIONAISPRODUZIDOS POR ELE NAS DISCIPLINAS PROGRAMAS DE ENSINO DE FISICA DO 2.GRAU E ELABORACAO E UTILIZACAO DE MATERIAL DIDATICO. ELABORACAO DE PLANODE CURSO PARA A ATIVIDADE DE DOCENCIA A SER DESENVOLVIDA NA PRATICA DOENSINO DE FISICA II, TENDO COMO BASE AS ATIVIDADES REALIZADAS AO LONGOAO PRATICA DE ENSINO DE FISICA I.

Disciplina:METODOS MATEMATICOS DA FISICA TEORICA; Codigo: IFD0296; Pre requisitos: ( ( IFD0244 OU IFD0244 ) E ( IFD0252 E MAT0031 OU MAT0039 ) ) OU ( ( MAT0027 ) E ( MAT0031 OU MAT0039 ) ); Unidade responsavel: INSTITUTO DE FISICA

Disciplina:FISICA PARA DESENHO INDUSTRIAL; Codigo: IFD0304; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: MEDIDAS FISICAS E SISTEMAS DE UNIDADES. PRINCIPIOS BASICOS DE MECANI-CA. MATERIA: ESTRUTURA E PROPRIEDADES. PRINCIPIOS BASICOS DE TERMODINA-MICA. OPTICA E ONDAS. SEMINARIOS TERMATICOS. ATIVIDADES EXPERIMENTAIS.ATIVIDADES INTEGRADORAS.

Disciplina:SIMULACAO DE PROCESSOS FISICOS; Codigo: IFD0328; Pre requisitos: ( ( IFD0054 E IFD0015 E IFD0018 ) OU ( IFD0071 E IFD0323 E IFD0098 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Bibliotecas cientificas. Movimento de particulas. Caos. Sistemas espaco-temporais. Equacao de Schrodinger. Geradores aleatorios. Dinamica estocastica. Metodo de Metropolis

Disciplina:MATERIAIS DIDATICOS PARA O ENSINO DE FISICA; Codigo: IFD0334; Pre requisitos: ( IFD0245 OU IFD0246 OU IFD0247 ); Unidade responsavel: INSTITUTO DE FISICA

Disciplina:PROJETOS E PROGRAMAS PARA O ENSINO DE FISICA; Codigo: IFD0338; Pre requisitos: ( IFD0245 OU IFD0246 OU IFD0247 ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: A historia do ensino de Fisica no Brasil. Mecanismos historicos e contemporaneos de regulacao do ensino de Fisica. Analise dos principais projetos nacionais e internacionais do Ensino de Fisica e seus contextos de producao. Producao de textos paradidaticos.

Disciplina:FUNDAMENTOS DE FISICA; Codigo: IFD0340; Pre requisitos: ( ( MAT0025 ) OU ( MAT0022 ) OU ( MAT0137 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: ENERGIA, CONSERVACAO DE ENERGIA, CONCEITOS BASICOS DE RADIACAO, MODELOS ATOMICOS, DESINTEGRACAO NUCLEAR, FENOMENOS ONDULATORIOS, SOM, OTICA GEOMETRICA, FLUIDOS, FENOMENOS ELETRICOS.

Disciplina:FUNDAMENTOS DE ASTRONOMIA E ASTROFISICA; Codigo: IFD0342; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Historia da Astronomia, Nocoes de Astrometria, Insntrumentacao Astronomica, Sistema Solar, Galaxias e Cosmologia.

Disciplina:PROGRAMACAO PARA SISTEMAS FISICOS; Codigo: IFD0353; Pre requisitos: ( ( MAT0025 ) E ( IFD0069 OU IFD0418 OU IFD0171 OU IFD0210 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Elementos das linguagens, alfabetos, expressoes e atribuicoes, compilacao deprogramas, tipos de dados, constantes e variaveis, estruturas de controle, lacos eestruturas de repeticao, elementos de entrada e saida Vetores e matrizes e suas operacoes Modularizacao Usos avancados de matrizes, tripletos, subconjuntos de matrizes, ponteiros ealocacao dinamica de memoria, transferencia e conversao de dados Operacoes avancadas em arquivos externos, interoperabilidade entre Fortran eC/C++, introducao a programacao orientada a objetos.

Disciplina:ELETROMAGNETISMO; Codigo: IFD0364; Pre requisitos: ( ( IFD0361 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Lei de Coulomb, campo eletrico, potencial eletrostatico, dieletricos. Corrente eletrica. Campo magnetico, lei de Ampere.Inducao. Circuitos. Magnetismo na materia.Equacoes de Maxwell, ondas eletromagneticas. Polarizacao da luz

Disciplina:ESTAGIO CURRICULAR SUPERVISIONADO EM FISICA 1; Codigo: IFD0366; Pre requisitos: ( ( IFD0365 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Observacao e reflexao sobre a pratica de ensino de Fisica no nivel basico, no contexto da formacao do cidadao.Regencia de ensino com exercicio de todas as funcoes inerentes ao professor de Fisica no nivel basico.Analise reflexiva e vivencial de problemas atinentes ao ensino da Fisica e das possibilidades de superacao e inovacao com enfase na Didatica da Fisica

Disciplina:ESTAGIO CURRICULAR SUPERVISIONADO EM FISICA 2; Codigo: IFD0367; Pre requisitos: ( ( IFD0366 ) ); Unidade responsavel: INSTITUTO DE FISICA; Ementa: Observacao e reflexao sobre a pratica de ensino de Fisica no nivel basico, no contexto da formacao do cidadao.Regencia de ensino com exercicio de todas as funcoes inerentes ao professor de Fisica no nivel basico.Analise reflexiva e vivencial de problemas atinentes ao ensino da Fisica e das possibilidades de superacao e inovacao com enfase no Laboratorio Didatico.

Disciplina:ESTAGIO CURRICULAR SUPERVISIONADO EM FISICA 3; Codigo: IFD0368; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Observacao e reflexao sobre a pratica de ensino de Fisica no nivel basico, no contexto da formacao do cidadao.Regencia de ensino com exercicio de todas as funcoes inerentes ao professor de Fisica no nivel basico.Analise reflexiva e vivencial de problemas atinentes ao ensino da Fisica e das possibilidades de superacao e inovacao com enfase nas Tecnologias de Informacao e Comunicacao.

Disciplina:ESTAGIO CURRICULAR SUPERVISIONADO EM FISICA 4; Codigo: IFD0369; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Observacao e reflexao sobre a pratica de ensino de Fisica no nivel basico, no contexto da formacao do cidadao.Regencia de ensino com exercicio de todas as funcoes inerentes ao professor de Fisica no nivel basico.Analise reflexiva e vivencial de problemas atinentes ao ensino da Fisica e das possibilidades de superacao e inovacao com enfase nas praticas interdisciplinares em Educacao nas Ciencias.

Disciplina:ESTAGIO CURRICULAR SUPERVISIONADO EM FISICA 5; Codigo: IFD0370; Pre requisitos: -; Unidade responsavel: INSTITUTO DE FISICA; Ementa: Observacao e reflexao sobre a pratica de ensino de Fisica no nivel basico, no contexto da formacao do cidadao.Regencia de ensino com exercicio de todas as funcoes inerentes ao professor de Fisica no nivel basico.Analise reflexiva e vivencial de problemas atinentes ao ensino da Fisica e das possibilidades de superacao e inovacao com enfase na Avaliacao da Aprendizagem.

